"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142611",10.6070528189827,0.570392156027982,0.878217468306055,0.649488511231939,0.516022669994714,NA
"ENSG00000149527",3.36455689411002,0.156322331680842,1.74318908270203,0.0896760616688431,0.928544639302791,NA
"ENSG00000272235",1.86367306058169,-0.593995561444592,2.25025683188291,-0.263967896032367,0.791804656849799,NA
"ENSG00000287727",29.564443808599,-0.351863273099485,0.538909821346099,-0.652916794540122,0.513809921157446,NA
"ENSG00000225931",7.16349365056351,-0.309585215078253,1.08692800323833,-0.284825870854272,0.775777550738107,NA
"ENSG00000048707",3402.85506530499,0.145249293785819,0.0545016031696385,2.66504626173516,0.00769777325146873,0.0395770643515982
"ENSG00000189337",1226.78950537258,-0.0898044417032814,0.0874767654963586,-1.02660907949345,0.304604576971303,0.544831838829304
"ENSG00000175147",6.16993396833393,0.705307969540707,1.34960361249535,0.522603794929556,0.601249999112317,NA
"ENSG00000272420",14.6422868934302,0.895471459185735,0.771775474230597,1.16027457348065,0.24593703329586,NA
"ENSG00000232273",3.1663720454408,-0.658424527405206,1.77884535372285,-0.370141522436015,0.711277045268635,NA
"ENSG00000130940",198.378321858706,-0.0369674800009717,0.205101751612003,-0.180239708878275,0.856964385696829,0.935027813145128
"ENSG00000227527",18.1021302441044,0.0915099438049689,0.658814093893663,0.13890101115496,0.889528371928374,NA
"ENSG00000117215",95.6550040691866,0.270158210689178,0.322126789469926,0.838670422704473,0.401654280279165,0.641106256686689
"ENSG00000272078",9.50032831606375,-0.603551220527317,0.921796591270373,-0.654755318302418,0.512625302732,NA
"ENSG00000230585",14.7596256622463,-0.576245193857626,0.75471435440827,-0.763527539249506,0.445148844893125,NA
"ENSG00000117000",6086.79563236008,-0.138286072997805,0.0430209222093198,-3.21439118215479,0.00130721452081777,0.00917128106729809
"ENSG00000255811",1.84586302776824,1.16918072691825,2.10110365619355,0.556460279087985,0.577896241028795,NA
"ENSG00000116544",2.55804717372965,-0.134943724035828,1.97771020153684,-0.0682323041722522,0.94560071187437,NA
"ENSG00000236723",4.77509094785646,0.483889818784819,1.29105226378624,0.374802656993704,0.707807238088603,NA
"ENSG00000284686",10.4997572738057,0.283563163142521,0.863909663938296,0.328232424035917,0.742735933811537,NA
"ENSG00000234318",6.21344940373229,0.309902079518112,1.16595060645329,0.265793488851817,0.790398258050116,NA
"ENSG00000163877",1301.6692214415,-0.261161063622367,0.0933070645632362,-2.79894201842962,0.00512703429392708,0.028491131053433
"ENSG00000228929",9.06323963225546,-0.199765231206288,0.986800686289864,-0.202437264162592,0.839574898823443,NA
"ENSG00000278967",2.56077802683737,-0.876273964151938,1.99551458446963,-0.439121803955562,0.660573280984826,NA
"ENSG00000154027",131.209999940455,0.443213572174636,0.251796871377315,1.76020285617642,0.0783734178973966,0.225001602124043
"ENSG00000237852",10.8125799833954,0.803729101389922,0.93103231244852,0.863266602719939,0.387990901993308,NA
"ENSG00000116675",2435.6999181318,0.0423612062794232,0.0632419755443094,0.66982737200775,0.502967842458856,0.723100051861933
"ENSG00000213625",9841.78150624993,0.0560868263567956,0.0371454392653138,1.50992497238198,0.131062569752074,0.319005068255174
"ENSG00000230498",4.07565608452806,-0.86895549537574,1.5305300624679,-0.567748074137529,0.570206043104566,NA
"ENSG00000131233",6.52756313210536,0.460128062265223,1.18294927851158,0.388966856503069,0.697300664228077,NA
"ENSG00000272094",122.768719105231,-0.502930916948166,0.263399642254749,-1.90938344730838,0.0562126445194925,0.178141246176329
"ENSG00000226084",56.0940115749388,0.234693749494444,0.390189000549525,0.601487353984636,0.54751543215211,0.755320692436074
"ENSG00000172260",599.880335379352,-0.230915664866898,0.125083024886482,-1.84609914156188,0.064877811483046,0.197274597964627
"ENSG00000067334",7895.89653451028,-0.0951464661147457,0.0390762096235993,-2.4348949663041,0.0148961129416934,0.0662883852721555
"ENSG00000232882",21.4518792653323,-0.141237302959714,0.611511640753173,-0.230964209913907,0.817342606677852,NA
"ENSG00000171502",128.284693185372,-0.0578633946270005,0.273507652065311,-0.211560423227878,0.83244998807062,0.923707193959643
"ENSG00000283761",8.745304339408,-1.46271430794485,1.03726599119953,-1.41016317931462,0.158491505349817,NA
"ENSG00000266993",83.039589203757,-0.219274008978967,0.350655478110084,-0.625326061240454,0.531757078760225,0.743286166232503
"ENSG00000280040",2.27874612262375,-0.849029359828587,2.01839542112287,-0.420645702493843,0.674013815647877,NA
"ENSG00000228502",2.33096690786652,1.44967797379777,2.1996799841604,0.659040398711043,0.509869826933902,NA
"ENSG00000260464",5.24301781673631,-0.803144494906885,1.29457324174251,-0.620393245441904,0.534998918319339,NA
"ENSG00000183298",42.3112950460457,0.268829867505391,0.45551019769751,0.59017310449746,0.555074601608814,NA
"ENSG00000270457",2.38553662376949,-4.59928584504301,2.26416274452245,-2.0313406605465,0.0422204493981324,NA
"ENSG00000198162",3407.64463581012,0.0908001478478637,0.0619160081055959,1.46650519996391,0.142510705611218,0.336631272660945
"ENSG00000232450",40.2893834793377,-0.749208625208066,0.494247753909468,-1.51585640861668,0.12955566487376,NA
"ENSG00000173947",167.9839545757,0.220534583750495,0.224556839959441,0.982088026311411,0.32605648379609,0.567046290924185
"ENSG00000134253",179.82984732517,0.75842352985664,0.238445779867601,3.18069596483428,0.00146921733249067,0.0101082430079011
"ENSG00000198765",33.2168214915568,0.127112146964592,0.487042176659137,0.260987965840077,0.794101787603039,NA
"ENSG00000235526",4.48535259915011,0.15766358643897,1.33506103454337,0.118094665606727,0.905992650105417,NA
"ENSG00000228347",1.78182250103315,-2.03914001102042,2.33289289942388,-0.874082137042808,0.382073524648192,NA
"ENSG00000134200",2.43732172919193,1.48619339743652,2.00801729581014,0.740129779030067,0.459221250977023,NA
"ENSG00000261168",15.2582573929718,-1.0435964695432,0.813990095116587,-1.28207514539072,0.199816286871291,NA
"ENSG00000155761",43.3273937910266,-0.340771386718277,0.449590994077421,-0.757958658441444,0.44847573236379,NA
"ENSG00000163155",463.174072231634,-0.107841795257048,0.145200887676002,-0.74270754802604,0.457658758949917,0.688243736958286
"ENSG00000241975",11.8760273985277,0.186441885536415,0.902849758958297,0.206503777274671,0.836397414491114,NA
"ENSG00000232499",14.4546244530048,0.121515027694141,0.853091525664847,0.142440786291294,0.88673184800766,NA
"ENSG00000232995",105.578042165565,0.162953456242933,0.289705233451476,0.56248019513333,0.573788893499465,0.775243152695391
"ENSG00000271092",50.636571768472,0.649447028326145,0.421987201903574,1.53902067502641,0.12379924891801,0.306395252419849
"ENSG00000232952",24.3549070593737,-0.211011241424435,0.597810892795494,-0.35297322944,0.724108510243959,NA
"ENSG00000225462",5.32473235468448,0.472150575060311,1.29024193505399,0.365939567016595,0.714410170813799,NA
"ENSG00000224468",81.703320823199,0.5095126131719,0.346787901223141,1.46923410930664,0.14176930164204,0.335478453032708
"ENSG00000047410",12745.2615647694,0.0311848950631409,0.0386458845647789,0.806939611147165,0.419701276040973,0.65660033142178
"ENSG00000241318",2.31823117253989,-0.788549121404237,1.99542389354744,-0.395178750717655,0.69271097359791,NA
"ENSG00000228238",23.2124289182071,-0.349511165340297,0.628847220148237,-0.555796629359206,0.578349889996134,NA
"ENSG00000224691",8.82665679969152,0.256548269432429,0.943145150835176,0.272013559318255,0.785611593489674,NA
"ENSG00000233626",10.6949774774691,-0.760860909068488,0.941449872221499,-0.808179948310065,0.418986999104503,NA
"ENSG00000231714",1.85766438766593,1.13337347588691,2.65576990007465,0.426758913057583,0.669554935517568,NA
"ENSG00000233196",14.7244072843285,0.0599316497098544,0.765967137483049,0.0782431083228825,0.937634671619317,NA
